date,daily_sentiment,sentiment_gradient
4/22/18,0.582,-0.005
4/23/18,0.591,0.009
4/24/18,0.584,-0.007
4/25/18,0.599,0.015
4/26/18,0.597,-0.002
4/27/18,0.589,-0.008
4/28/18,0.56,-0.029
4/29/18,0.61,0.05
4/30/18,0.604,-0.006
5/1/18,0.578,-0.026
5/2/18,0.609,0.031
5/3/18,0.586,-0.023
5/4/18,0.58,-0.006
5/5/18,0.584,0.004
5/6/18,0.549,-0.035
5/7/18,0.595,0.046
5/8/18,0.555,-0.04
5/9/18,0.534,-0.021
5/10/18,0.512,-0.022
5/11/18,0.475,-0.037
5/12/18,0.494,0.019
5/13/18,0.48,-0.014
5/14/18,0.47,-0.01
5/15/18,0.528,0.058
5/16/18,0.511,-0.017
5/17/18,0.523,0.012
5/18/18,0.519,-0.004
5/19/18,0.517,-0.002
5/20/18,0.454,-0.063
5/21/18,0.521,0.067
5/22/18,0.531,0.13
