dates,returns,strategy_5,strategy_10,strategy_15,strategy_20
4/24/2018,1.010783822,1.010783822,1.010783822,1.010783822,1.010783822
4/25/2018,1.081121202,1.081121202,1.081121202,1.081121202,1.081121202
4/26/2018,1.017758384,1.017758384,1.017758384,1.017758384,1.017758384
4/27/2018,1.047502144,1.047502144,1.047502144,1.047502144,1.047502144
4/28/2018,1.019434375,1.019434375,1.019434375,1.019434375,1.019434375
4/29/2018,1.055170259,1.055170259,1.055170259,1.055170259,1.055170259
4/30/2018,1.056087642,1.056087642,1.056087642,1.056087642,1.056087642
5/1/2018,1.047634708,1.064608779,1.047634708,1.047634708,1.047634708
5/2/2018,1.026767782,1.043403761,1.026767782,1.026767782,1.026767782
5/3/2018,1.043319067,1.026851133,1.043319067,1.043319067,1.043319067
5/4/2018,1.090594062,1.073379931,1.090594062,1.090594062,1.090594062
5/5/2018,1.098679289,1.081337539,1.098679289,1.098679289,1.098679289
5/6/2018,1.109153483,1.091646407,1.109153483,1.109153483,1.109153483
5/7/2018,1.089560855,1.072363032,1.089560855,1.089560855,1.089560855
5/8/2018,1.057378389,1.04068854,1.057378389,1.057378389,1.057378389
5/9/2018,1.044131682,1.027650921,1.044131682,1.044131682,1.044131682
5/10/2018,1.054702799,1.01735094,1.033666517,1.054702799,1.054702799
5/11/2018,1.029748663,1.042004639,1.058715594,1.080261654,1.029748663
5/12/2018,0.958165038,1.119851843,1.137811259,1.005166586,0.958165038
5/13/2018,0.959925357,1.11779825,1.135724731,1.003323303,0.956407947
5/14/2018,0.987453068,1.086636843,1.104063579,0.97535317,0.929745696
5/15/2018,0.978898118,1.09613336,1.113712395,0.983877139,0.937871085
5/16/2018,0.962992754,1.114237755,1.132107136,1.000127443,0.953361525
5/17/2018,0.943673443,1.137048936,1.155284147,1.020602506,0.972879175
5/18/2018,0.917132319,1.169954282,1.188717206,1.050137979,1.00103357
5/19/2018,0.932286015,1.150937446,1.169395391,1.033068678,0.984762429
5/20/2018,0.930389021,1.15328412,1.1717797,1.035175027,0.986770285
5/21/2018,0.962534383,1.114768369,1.132646259,1.000603716,0.953815527
5/22/2018,0.948748128,1.130967063,1.149104737,1.015143484,0.967675417
