# DAY, BCHAIN/MKPRU, BCHAIN/MWNTD, BCHAIN/AVBLS, BCHARTS/KRAKENEUR, BCHAIN/NTRBL, BCHAIN/ETRAV, BCHAIN/MKTCP, BCHAIN/TRFUS, BCHAIN/HRATE, BCHARTS/BITSTAMPUSD, BCHAIN/DIFF, BCHAIN/MIREV, BCHAIN/ATRCT, BCHAIN/CPTRA, BCHAIN/NTREP, BCHAIN/NADDU, BCHAIN/TOTBC
1.00000000,1334.97903750,83208.00000000,0.97157031,1209.99900000,1972.94219653,268392.27107400,21762127405.29999924,342257.22813700,4488916.48047000,1333.93000000,521974519553.00000000,3119178.52112000,9.86666667,9.46079590,335709.00000000,634025.00000000,16301475.00000000
2.00000000,1353.00450000,58421.00000000,0.97189352,1210.62200000,1864.16556291,199722.12699500,22058522827.59999847,269664.13292500,3918071.61012000,1336.77000000,521974519553.00000000,2720215.54725000,14.50000000,10.03044569,276157.00000000,526652.00000000,16303362.50000000
3.00000000,1417.17281250,60107.00000000,0.97742089,1223.86200000,1965.24000000,312196.23083800,23107339286.40000153,322759.50040600,3892124.11602000,1348.88000000,521974519553.00000000,2878277.98219000,14.75000000,10.10888754,288424.00000000,542847.00000000,16305237.50000000
4.00000000,1452.07628750,75625.00000000,0.98023813,1251.23800000,2108.61392405,316525.21206200,23679316586.50000000,395951.67102700,4099704.06887000,1390.86000000,521974519553.00000000,3149553.46759000,9.73333333,9.79647179,327015.00000000,609090.00000000,16307212.50000000
5.00000000,1507.57685714,56755.00000000,0.99529087,1317.99800000,2235.97727273,317492.17304200,24586863671.29999924,372889.60332600,3425069.22209000,1447.75000000,521974519553.00000000,2760373.22543000,18.57500000,9.69134714,289205.00000000,547221.00000000,16308862.50000000
6.00000000,1508.29212500,84014.00000000,0.97104674,1377.39000000,2111.52976190,397991.61086800,24601696289.90000153,463189.99683600,4359179.00994000,1503.25000000,521974519553.00000000,3500746.02212000,11.76666667,10.23463428,347771.00000000,676230.00000000,16310962.50000000
7.00000000,1533.33507143,29430.00000000,0.96124587,1379.98300000,2071.26356589,373364.40609700,25012643352.79999924,400678.37047900,3347226.73977000,1537.36000000,521974519553.00000000,2779169.81696000,13.25000000,10.75320526,261046.00000000,523629.00000000,16312575.00000000
8.00000000,1560.41020000,122796.00000000,0.96493317,1374.24000000,2160.84523810,303559.11870200,25457585279.70000076,462776.61507800,4359179.00994000,1515.39000000,521974519553.00000000,3610789.20280000,15.63333333,10.30140883,357071.00000000,677421.00000000,16314675.00000000
9.00000000,1535.86842857,61931.00000000,0.96483644,1403.77900000,1892.28143713,276993.75885700,25060400380.20000076,425490.46248700,4333231.51583000,1554.04000000,521974519553.00000000,3505619.68821000,15.40000000,11.49205505,309348.00000000,581369.00000000,16316762.50000000
10.00000000,1640.61922500,79927.00000000,0.96814416,1413.43300000,2028.31111111,438151.01403200,26773285640.50000000,519173.22006600,4670548.93922000,1554.38000000,521974519553.00000000,4062173.20110000,14.27500000,11.53276529,356775.00000000,691480.00000000,16319012.50000000
11.00000000,1721.28497143,67317.00000000,0.98778652,1510.00000000,2147.60645161,442341.02894700,28093005954.40000153,521483.13475800,4021861.58655000,1649.55000000,521974519553.00000000,3715393.61083000,10.61666667,11.58520894,326342.00000000,621156.00000000,16320950.00000000
12.00000000,1762.88625000,38786.00000000,0.96016579,1571.33800000,2103.99324324,416118.52430800,28775239681.50000000,534621.62624000,4119773.00241000,1720.26000000,555092980097.00000000,3665040.51375000,17.45000000,12.19033687,302641.00000000,592447.00000000,16322800.00000000
13.00000000,1820.99056250,50706.00000000,0.96124270,1636.38100000,2183.28148148,364410.76342700,29726737675.09999847,509112.95872600,3757901.04949000,1774.52000000,559970892890.00000000,3468076.52628000,13.85000000,12.15307754,288009.00000000,568521.00000000,16324487.50000000
14.00000000,1720.47850000,46718.00000000,0.95458052,1690.00700000,2062.97402597,343919.54287200,28089241688.40000153,554081.09083700,4286790.82683000,1830.85000000,559970892890.00000000,3731717.86650000,19.02500000,12.16879616,310036.00000000,600568.00000000,16326412.50000000
15.00000000,1771.92001250,76260.00000000,0.95509003,1550.45700000,2083.96202532,250751.31640100,28932596583.09999847,533692.38584600,4398136.04311000,1690.33000000,559970892890.00000000,3885820.58741000,13.48333333,12.24916757,322439.00000000,623293.00000000,16328387.50000000
16.00000000,1776.31650000,112714.00000000,0.97508566,1638.87000000,2250.59756098,246099.90830100,29008025583.50000000,528411.92577700,4565153.86753000,1776.80000000,559970892890.00000000,4018027.92300000,13.28333333,11.29743524,361974.00000000,691330.00000000,16330437.50000000
17.00000000,1723.12693750,50101.00000000,0.97071198,1641.33600000,1936.64117647,401257.57948000,28143078402.20000076,563985.94340100,4732171.69195000,1782.30000000,559970892890.00000000,4090703.34962000,10.03333333,12.83492853,320922.00000000,636246.00000000,16332562.50000000
18.00000000,1739.03197500,22332.00000000,0.97396087,1598.51000000,1772.55303030,332635.73046000,28405717823.90000153,597199.24122400,3674392.13728000,1706.07000000,559970892890.00000000,3356331.71175000,13.70000000,14.81599473,228555.00000000,453290.00000000,16334212.50000000
19.00000000,1807.48506250,23791.00000000,0.98188194,1608.08000000,2048.56129032,518560.40861600,29527347103.79999924,878322.26413100,4314627.13090000,1700.01000000,559970892890.00000000,4241263.69916000,13.90000000,13.79512474,307080.00000000,591515.00000000,16336150.00000000
20.00000000,1899.08288750,36293.00000000,0.97460949,1649.99000000,2034.53521127,356585.58290400,31027073784.79999924,744481.15724700,3952755.17798000,1779.00000000,559970892890.00000000,3986174.98086000,12.08333333,14.24470856,280634.00000000,570189.00000000,16337925.00000000
21.00000000,1961.52048750,40480.00000000,0.97126082,1701.96600000,1948.18292683,437720.10435900,32051195727.70000076,868584.68065000,4565153.86753000,1879.00000000,559970892890.00000000,4746879.57975000,11.88333333,15.30413481,309333.00000000,633617.00000000,16339975.00000000
22.00000000,2052.90978750,89758.00000000,0.96721293,1750.18500000,2138.21212121,331908.79839700,33548728731.40000153,796023.68263300,4592990.17160000,1959.09000000,559970892890.00000000,4862316.83169000,19.32500000,14.25759306,343449.00000000,646325.00000000,16342037.50000000
23.00000000,2046.53446250,73165.00000000,0.99036370,1804.98900000,2218.07482993,266554.69422900,33448303438.29999924,721993.73393300,4091936.69834000,2013.99000000,559970892890.00000000,4331490.18988000,10.23333333,13.74759876,316206.00000000,608719.00000000,16343875.00000000
