date,closing_price,sentiment,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
11/22/17,8230.69,0.59,0.527,0.729,0.538,0.586,0.516,0.594,0.478,0.556,0.555,0.733,0.735,0.598,0.685,0.587,0.66,0.699,0.567,0.577,0.445,0.544,0.472,0.601,0.574,0.599
11/23/17,8002.64,0.591,0.578,0.517,0.569,0.63,0.575,0.469,0.777,0.6,0.528,0.611,0.613,0.557,0.619,0.554,0.66,0.531,0.281,0.696,0.756,0.583,0.63,0.656,0.575,0.618
11/24/17,8201.46,0.572,0.517,0.5,0.496,0.679,0.631,0.437,0.477,0.598,0.653,0.674,0.554,0.545,0.534,0.638,0.6,0.332,0.351,0.727,0.564,0.711,0.608,0.488,0.919,0.502
11/25/17,8763.78,0.561,0.594,0.654,0.507,0.538,0.499,0.538,0.65,0.732,0.536,0.595,0.651,0.559,0.51,0.629,0.628,0.672,0.492,0.476,0.518,0.33,0.442,0.601,0.666,0.446
11/26/17,9326.59,0.598,0.386,0.607,0.605,0.637,0.663,0.59,0.702,0.599,0.59,0.629,0.574,0.591,0.726,0.684,0.375,0.311,0.606,0.614,0.677,0.621,0.53,0.696,0.663,0.669
11/27/17,9739.05,0.594,0.494,0.612,0.69,0.611,0.578,0.653,0.566,0.509,0.641,0.638,0.662,0.45,0.608,0.741,0.878,0.54,0.716,0.479,0.479,0.541,0.503,0.666,0.569,0.443
11/28/17,9908.23,0.642,0.761,0.58,0.47,0.798,0.622,0.739,0.719,0.649,0.727,0.611,0.616,0.72,0.585,0.59,0.739,0.695,0.51,0.486,0.6,0.674,0.59,0.666,0.579,0.681
11/29/17,9816.35,0.638,0.697,0.568,0.601,0.749,0.802,0.628,0.764,0.667,0.664,0.853,0.564,0.586,0.639,0.653,0.398,0.574,0.686,0.675,0.357,0.611,0.833,0.536,0.575,0.643
11/30/17,9916.54,0.64,0.593,0.53,0.659,0.594,0.739,0.447,0.727,0.522,0.752,0.662,0.608,0.657,0.813,0.724,0.709,0.694,0.464,0.645,0.536,0.786,0.578,0.834,0.611,0.468
12/1/17,10859.56,0.798,0.946,0.989,0.836,0.803,0.716,0.991,0.658,0.655,0.827,0.806,0.792,0.719,0.757,0.908,0.729,0.666,0.85,0.712,0.854,0.64,0.778,0.733,0.868,0.925
12/2/17,10895.01,0.804,0.611,0.889,0.742,0.773,0.776,0.762,0.809,0.951,0.732,0.879,0.767,0.767,0.92,0.761,0.899,0.965,0.804,0.709,0.748,0.847,0.848,0.785,0.774,0.785
12/3/17,11180.89,0.83,0.74,0.744,0.832,0.996,0.821,0.589,0.828,0.991,0.839,0.876,0.8,0.912,0.741,0.83,0.934,0.938,0.76,0.879,0.761,0.949,0.835,0.702,0.744,0.887
12/4/17,11616.85,0.858,0.996,0.884,0.925,0.821,0.991,0.672,0.642,0.941,0.914,0.898,0.893,0.787,0.82,0.788,0.969,0.746,0.799,0.757,0.875,0.882,0.982,0.692,0.925,0.983
12/5/17,11696.06,0.842,0.942,0.954,0.891,0.97,0.914,0.778,0.854,0.797,0.891,0.682,0.882,0.734,0.853,0.884,0.76,0.955,0.802,0.896,0.722,0.835,0.791,0.749,0.767,0.913
12/6/17,13708.99,0.897,0.942,0.936,0.821,0.941,0.862,0.92,0.825,0.808,0.804,0.916,0.787,0.852,0.952,0.974,0.949,0.887,0.997,0.961,0.915,0.946,0.949,0.822,0.905,0.846
12/7/17,16858.02,0.888,0.803,0.978,0.856,0.99,0.923,0.917,0.873,0.794,0.836,0.935,0.958,0.979,0.843,0.97,0.77,0.783,0.882,0.836,0.977,0.899,0.943,0.898,0.838,0.831
12/8/17,16057.14,0.899,0.788,0.844,0.912,0.902,0.898,0.92,0.955,0.986,0.736,0.908,0.835,0.81,0.914,0.875,0.953,0.894,0.947,0.893,0.777,0.935,0.973,0.975,0.965,0.992
